City,Company,The name of the recycling service location
Aba Tibetan-Qiang Autonomous Prefecture,6,6
Administrative divisions at the county level directly under the jurisdiction of Hainan Province,5,5
Aksu Prefecture,13,11
Altay Prefecture,3,2
Alxa,2,2
Ankang,17,13
Anqing,38,28
Anshan,24,21
Anshun,18,13
Anyang,46,41
Baicheng,7,6
Baise,17,15
Baishan,6,2
Baiyin,10,6
Baoding,54,65
Baoji,30,23
Baoshan,16,11
Baotou,35,28
Bayannur,13,9
Bayingolin Mongolian Autonomous Prefecture,18,11
Bazhong,17,13
Beihai,22,16
Beijing,109,271
Bengbu,29,21
Benxi,8,6
Bijie,24,16
Binzhou,25,32
Bortala Mongolian Autonomous Prefecture,4,4
Bozhou,21,19
Cangzhou,45,58
Changchun,57,65
Changde,30,25
Changji Hui Autonomous Prefecture,9,7
Changsha,100,149
Changzhi,35,33
Changzhou,52,63
Chaoyang,22,12
Chaozhou,18,14
Chengde,30,18
Chengdu,113,203
Chenzhou,41,27
Chifeng,27,22
Chizhou,19,13
Chongqing,104,214
Chongzuo,7,5
Chuxiong Yi Autonomous Prefecture,18,11
Chuzhou,25,24
County-level administrative divisions directly under the Central Government of Hubei Province,6,6
County-level administrative divisions directly under the jurisdiction of Hainan Province,2,3
County-level administrative divisions of Hubei Province,17,20
County-level administrative divisions of Xinjiang Uygur Autonomous Region,6,6
Dali Bai Autonomous Prefecture,22,21
Dalian,58,64
Dandong,12,8
Danzhou,7,7
Daqing,26,23
Datong,34,25
Daxing'anling Prefecture,2,2
Dazhou,27,19
Dehong Dai-Jingpo Autonomous Prefecture,12,8
Deqen Tibetan Autonomous Prefecture,4,4
Deyang,24,16
Dezhou,44,37
Dingxi,8,5
Dongguan,81,132
Dongying,38,32
Enshi Tujia-Miao Autonomous Prefecture,25,16
Ezhou,10,7
Fangchenggang,11,8
Foshan,78,100
Fushun,6,6
Fuxin,17,9
Fuyang,37,38
Fuzhou (Fujian),73,105
Fuzhou (Jiangxi),32,23
Gannan Tibetan Autonomous Prefecture,2,2
Ganzhou,57,43
Garze Tibetan Autonomous Prefecture,4,4
Guang'an,19,14
Guangyuan,19,14
Guangzhou,111,211
Guigang,14,13
Guilin,34,26
Guiyang,68,71
Guyuan,6,6
Haidong,2,2
Haikou,76,73
Hainan Tibetan Autonomous Prefecture,2,2
Haixi Mongolian-Tibetan Autonomous Prefecture,8,5
Hami,14,6
Handan,57,50
Hangzhou,97,166
Hanzhong,21,14
Harbin,59,67
Hebi,15,11
Hechi,12,10
Hefei,66,94
Hegang,5,3
Heihe,7,6
Hengshui,34,27
Hengyang,47,33
Heyuan,22,17
Heze,54,54
Hezhou,13,11
Hinggan,7,5
Hohhot,37,38
Honghe Hani-Yi Autonomous Prefecture,25,18
Hotan Prefecture,7,6
Huai'an,38,40
Huaibei,18,15
Huaihua,36,27
Huainan,22,19
Huanggang,13,18
Huangshan,26,17
Huangshi,33,20
Huizhou,57,61
Huludao,16,11
Hulunbuir,15,11
Huzhou,53,45
Ili Kazakh Autonomous Prefecture,22,15
Ji'an,30,22
Jiamusi,16,15
Jiangmen,36,46
Jiaozuo,36,28
Jiaxing,56,57
Jiayuguan,6,6
Jieyang,22,21
Jilin,19,15
Jinan,76,103
Jinchang,5,4
Jincheng,32,20
Jingdezhen,25,15
Jingmen,39,18
Jingzhou,21,19
Jinhua,53,91
Jining,58,55
Jinzhong,22,23
Jinzhou,16,11
Jiujiang,30,26
Jiuquan,12,9
Jixi,6,4
Kaifeng,44,28
Karamay,6,6
Kashgar Prefecture,11,9
Kunming,81,95
Laibin,10,6
Langfang,38,42
Lanzhou,51,50
Leshan,28,21
Lhasa,14,12
Liangshan Yi Autonomous Prefecture,22,16
Lianyungang,28,26
Liaocheng,43,36
Liaoyang,9,7
Liaoyuan,7,4
Lijiang,21,13
Lincang,11,8
Linfen,34,36
Linxia Hui Autonomous Prefecture,8,6
Linyi,68,71
Lishui,32,25
Liupanshui,20,16
Liuzhou,50,44
Longnan,6,5
Longyan,35,24
Loudi,33,26
Lu'an,25,23
Luohe,24,16
Luoyang,48,41
Luzhou,29,22
Lüliang,21,21
Ma'anshan,24,19
Maoming,28,20
Meishan,20,17
Meizhou,26,21
Mianyang,50,36
Mudanjiang,10,8
Nagqu,1,1
Nanchang,67,73
Nanchong,34,27
Nanjing,82,117
Nanning,76,83
Nanping,20,16
Nantong,58,69
Nanyang,39,38
Neijiang,19,15
Ningbo,76,124
Ningde,24,17
Nujiang Lisu Autonomous Prefecture,3,2
Nyingchi,2,2
Ordos,36,26
Panjin,17,15
Panzhihua,11,10
Pingdingshan,31,27
Pingliang,13,10
Pingxiang,30,18
Pu'er,12,11
Putian,30,24
Puyang,35,36
Qamdo,3,2
Qiandongnan Miao-Dong Autonomous Prefecture,16,16
Qiannan Bouyei-Miao Autonomous Prefecture,20,13
Qianxinan Bouyei-Miao Autonomous Prefecture,20,17
Qingdao,81,106
Qingyang,14,11
Qingyuan,29,27
Qinhuangdao,40,30
Qinzhou,17,14
Qiqihar,15,14
Qitaihe,3,3
Quanzhou,71,90
Qujing,34,28
Quzhou,49,29
Rizhao,25,21
Sanmenxia,23,17
Sanming,19,17
Sanya,35,29
Shanghai,116,363
Shangluo,5,4
Shangqiu,48,43
Shangrao,32,30
Shannan,1,1
Shantou,48,38
Shanwei,16,9
Shaoguan,29,17
Shaoxing,46,69
Shaoyang,41,30
Shenyang,54,71
Shenzhen,122,200
Shijiazhuang,92,101
Shiyan,32,27
Shizuishan,5,3
Shuangyashan,7,6
Shuozhou,14,15
Siping,6,5
Songyuan,8,9
Suihua,8,7
Suining,18,15
Suizhou,18,14
Suqian,36,34
Suzhou (Anhui),23,20
Suzhou (Jiangsu),85,167
Tacheng Prefecture,3,3
Tai'an,35,31
Taiyuan,73,75
Taizhou (Jiangsu),44,42
Taizhou (Zhejiang),48,56
Tangshan,60,58
The county-level administrative divisions of Henan Province,15,9
Tianjin,131,193
Tianshui,13,11
Tieling,11,6
Tongchuan,9,6
Tonghua,10,9
Tongliao,19,15
Tongling,19,17
Tongren,27,19
Turpan,3,3
Ulanqab,12,8
Weifang,63,73
Weihai,33,28
Weinan,32,21
Wenshan Zhuang-Miao Autonomous Prefecture,17,14
Wenzhou,63,92
Wuhai,9,9
Wuhan,114,135
Wuhu,38,35
Wuwei,11,10
Wuxi,88,103
Wuzhong,7,6
Wuzhou,14,13
Xi'an,98,154
Xiamen,75,85
Xiangtan,27,23
Xiangxi Tujia-Miao Autonomous Prefecture,14,12
Xiangyang,42,39
Xianning,18,13
Xianyang,3,3
Xiaogan,16,14
Xigaze,4,4
Xilingol,10,9
Xingtai,51,49
Xining,33,27
Xinjiang Uygur Autonomous Region Autonomous Region directly governed county-level administrative divisions,1,1
Xinxiang,37,47
Xinyang,33,23
Xinyu,18,13
Xinzhou,20,18
Xishuangbanna Dai Autonomous Prefecture,14,12
Xuancheng,22,21
Xuchang,44,41
Xuzhou,42,43
Ya'an,15,14
Yan'an,33,24
Yanbian Korean Autonomous Prefecture,23,15
Yancheng,50,55
Yangjiang,24,16
Yangquan,17,16
Yangzhou,44,39
Yantai,49,53
Yibin,32,22
Yichang,47,40
Yichun (Heilongjiang),4,4
Yichun (Jiangxi),57,32
Yinchuan,43,41
Yingkou,20,15
Yingtan,10,9
Yiyang,23,17
Yongzhou,20,19
Yueyang,29,26
Yulin (Guangxi),26,20
Yulin (Shaanxi),34,27
Yuncheng,38,29
Yunfu,13,12
Yushu Tibetan Autonomous Prefecture,3,2
Yuxi,26,16
Zaozhuang,34,31
Zhangjiajie,14,12
Zhangjiakou,31,26
Zhangye,12,13
Zhangzhou,39,32
Zhanjiang,33,26
Zhaoqing,26,22
Zhaotong,14,12
Zhengzhou,92,150
Zhenjiang,46,39
Zhongshan,59,57
Zhongwei,7,4
Zhoukou,31,27
Zhoushan,27,17
Zhuhai,46,45
Zhumadian,23,18
Zhuzhou,35,33
Zibo,46,43
Zigong,26,16
Ziyang,14,11
Zunyi,33,43
Ürümqi,47,51
