No.,English_school_name,THE-WUR,CWUR,QS-WUR,Shanghai-Ranking,Chinese Project-985
1,Anhui University,0.0,7.516666666666667,0.0,6.653333333333333,5.0
2,Peking University,9.944,9.836666666666666,9.7875,9.806666666666667,10.0
3,Beijing University of Technology,0.0,7.973333333333334,0.0,7.966666666666667,5.0
4,Beihang University ,8.788,9.153333333333332,4.0625,8.98,10.0
5,Beijing University of Chemical Technology,0.0,8.593333333333334,0.0,8.66,5.0
6,Beijing Jiaotong University,0.0,8.206666666666667,0.0,6.633333333333333,5.0
7,University of Science and Technology Beijing,0.0,8.803333333333333,4.5,8.286666666666667,5.0
8,Beijing Institute of Technology,8.992,9.023333333333333,5.7375,9.32,10.0
9,Beijing Forestry University,0.0,7.533333333333333,0.0,5.293333333333333,5.0
10,Beijing Normal University,9.292,8.986666666666666,6.6,8.973333333333333,10.0
11,Beijing Sport University,0.0,0.0,0.0,0.0,5.0
12,Beijing Foreign Studies University,0.0,0.0,0.0,0.0,5.0
13,Peking Union Medical College,0.0,8.81,0.0,8.42,5.0
14,Beijing University of Posts and Telecommunications,0.0,7.706666666666667,0.0,5.9399999999999995,5.0
15,Beijing University of Chinese Medicine,0.0,5.213333333333333,0.0,0.0,5.0
16,Chengdu University of Technology,0.0,5.62,0.0,4.6066666666666665,5.0
17,Chengdu University of Traditional Chinese Medicine,0.0,3.706666666666667,0.0,0.0,5.0
18,Chongqing University,8.56,8.946666666666667,0.0,8.62,10.0
19,Dalian Maritime University,0.0,6.453333333333333,0.0,5.8533333333333335,5.0
20,Dalian University of Technology,8.304,9.113333333333333,3.8375000000000004,8.6,10.0
21,University of Electronic Science and Technology of China,8.536,9.02,3.8875,9.120000000000001,10.0
22,Northeastern University,0.0,8.513333333333334,0.0,7.726666666666667,10.0
23,Northeast Forestry University,0.0,6.473333333333333,0.0,4.3533333333333335,5.0
24,Northeast Agricultural University,0.0,6.466666666666667,0.0,4.36,5.0
25,Northeast Normal University,6.252,7.716666666666667,0.0,4.346666666666667,5.0
26,Donghua University,7.8759999999999994,8.036666666666667,0.0,5.226666666666667,5.0
27,Southeast University,8.652,9.26,4.275,9.166666666666666,10.0
28,University of International Business and Economics,0.0,4.09,0.0,0.0,5.0
29,Fuzhou University,6.544,8.426666666666666,0.0,8.566666666666666,5.0
30,Fudan University,9.824,9.703333333333333,9.375,9.626666666666667,10.0
31,Guangxi University,0.0,7.65,0.0,7.873333333333333,5.0
32,Guangzhou Medical University,6.524,7.926666666666667,0.0,7.26,5.0
33,Guangzhou University of Chinese Medicine,0.0,5.713333333333334,0.0,4.5,5.0
34,Guizhou University,0.0,6.6433333333333335,0.0,5.8133333333333335,5.0
35,National University of Defense Technology,0.0,7.95,0.0,6.42,10.0
36,Harbin Engineering University,6.516,7.45,0.0,6.506666666666667,5.0
37,Harbin Institute of Technology,9.32,9.386666666666667,6.8,9.286666666666667,10.0
38,Second Military Medical University,0.0,0.0,0.0,0.0,5.0
39,Hainan University,0.0,6.583333333333333,0.0,7.246666666666667,5.0
40,Hefei University of Technology,0.0,8.129999999999999,0.0,6.5,5.0
41,Hebei University of Technology,0.0,6.68,0.0,5.1866666666666665,5.0
42,Hohai University,0.0,7.88,0.0,7.22,5.0
43,Henan University,0.0,7.53,0.0,7.233333333333333,5.0
44,Hunan University,8.508,9.006666666666666,3.7875000000000005,8.933333333333334,10.0
45,Hunan Normal University,0.0,7.066666666666666,0.0,6.493333333333333,5.0
46,North China Electric Power University,6.256,8.196666666666667,0.0,5.073333333333333,5.0
47,East China University of Science and Technology,7.4239999999999995,8.75,0.0,7.9,5.0
48,East China Normal University,8.748,8.816666666666666,0.0,8.586666666666666,10.0
49,South China University of Technology,8.844,9.313333333333333,5.075,9.18,10.0
50,South China Agricultural University,0.0,7.846666666666667,0.0,7.04,5.0
51,South China Normal University,6.936,7.903333333333333,0.0,7.033333333333333,5.0
52,Huazhong University of Science and Technology,9.368,9.576666666666666,6.5625,9.393333333333333,10.0
53,Huazhong Agricultural University,0.0,8.556666666666667,0.0,7.8533333333333335,5.0
54,Central China Normal University,0.0,8.106666666666667,0.0,6.593333333333334,5.0
55,Jilin University,0.0,9.273333333333333,0.0,9.28,10.0
56,Jinan University,7.816,8.553333333333333,0.0,8.533333333333333,5.0
57,Jiangnan University,6.432,8.283333333333333,0.0,7.82,5.0
58,Fourth Military Medical University,0.0,0.0,0.0,0.0,5.0
59,Lanzhou University,0.0,8.886666666666667,0.0,8.5,10.0
60,Liaoning University,0.0,4.966666666666667,0.0,0.0,5.0
61,Nanchang University,0.0,8.116666666666667,0.0,7.766666666666667,5.0
62,Southern University of Science and Technology,9.048,8.563333333333333,6.237500000000001,9.173333333333334,5.0
63,Nanjing University,9.708,9.51,8.2375,9.36,10.0
64,Nanjing University of Aeronautics and Astronautics,7.148,8.516666666666666,0.0,7.753333333333334,5.0
65,Nanjing University of Science and Technology,0.0,8.626666666666667,0.0,7.74,5.0
66,Nanjing Forestry University,7.144,7.306666666666667,0.0,7.126666666666667,5.0
67,Nanjing Agricultural University,0.0,8.67,0.0,7.76,5.0
68,Nanjing Normal University,6.28,8.14,0.0,7.12,5.0
69,Nanjing University of Information Science and Technology,6.288,8.326666666666666,0.0,0.0,5.0
70,Nanjing Medical University,6.284000000000001,8.666666666666666,0.0,8.473333333333333,5.0
71,Nanjing University of Posts and Telecommunications,0.0,7.743333333333334,0.0,6.44,5.0
72,Nanjing University of Chinese Medicine,0.0,6.6033333333333335,0.0,5.706666666666667,5.0
73,Nankai University,8.888,9.3,5.1875,8.886666666666667,10.0
74,Inner Mongolia University,0.0,5.293333333333333,0.0,0.0,5.0
75,Ningbo University,0.0,7.5,0.0,6.413333333333333,5.0
76,Ningxia University,0.0,4.17,0.0,0.0,5.0
77,Qinghai University,0.0,3.5966666666666667,0.0,0.0,5.0
78,Tsinghua University,9.952,9.853333333333333,9.6875,9.853333333333333,10.0
79,Xiamen University,8.596,9.403333333333332,5.05,8.673333333333334,10.0
80,Shandong University,0.0,9.363333333333333,5.4875,9.2,10.0
81,Shanxi University,0.0,7.6899999999999995,0.0,4.98,5.0
82,Shaanxi Normal University,0.0,7.806666666666667,0.0,6.34,5.0
83,Shanghai University of Finance and Economics,0.0,6.6899999999999995,0.0,3.626666666666667,5.0
84,Shanghai University,7.672,8.629999999999999,0.0,8.379999999999999,5.0
85,Shanghai Ocean University,0.0,5.61,0.0,4.286666666666666,5.0
86,Shanghai Jiao Tong University,9.828,9.753333333333334,9.3625,9.693333333333333,10.0
87,ShanghaiTech University,0.0,7.756666666666667,0.0,7.653333333333333,5.0
88,Shanghai University of Sport,0.0,0.0,0.0,0.0,5.0
89,Shanghai International Studies University,0.0,0.0,0.0,0.0,5.0
90,Shanghai Conservatory of Music,0.0,0.0,0.0,0.0,5.0
91,Shanghai University of Traditional Chinese Medicine,0.0,6.08,0.0,3.62,5.0
92,Shihezi University,0.0,5.386666666666667,0.0,3.6066666666666674,5.0
93,Capital Normal University,0.0,6.803333333333334,0.0,0.0,5.0
94,Sichuan University,9.396,9.356666666666667,5.5375000000000005,9.193333333333333,10.0
95,Sichuan Agricultural University,0.0,7.01,0.0,4.966666666666667,5.0
96,Soochow University,7.656000000000001,0.0,0.0,9.186666666666667,5.0
97,Taiyuan University of Technology,0.0,7.1899999999999995,0.0,4.9399999999999995,5.0
98,Tianjin University,9.028,9.416666666666666,6.4,9.126666666666667,10.0
99,Tiangong University,0.0,6.556666666666667,0.0,0.0,5.0
100,Tianjin Medical University,0.0,8.003333333333334,0.0,6.26,5.0
101,Tianjin University of Traditional Chinese Medicine,0.0,0.0,0.0,0.0,5.0
102,Tongji University,9.256,9.333333333333334,7.3,8.813333333333333,10.0
103,China Foreign Affairs University,0.0,0.0,0.0,0.0,5.0
104,Wuhan University,9.34,9.433333333333334,7.5625,9.006666666666666,10.0
105,Wuhan University of Technology,0.0,8.536666666666667,0.0,8.006666666666666,5.0
106,Xi'an University of Electronic Science and Technology,0.0,0.0,0.0,0.0,5.0
107,Xi'an Jiaotong University,0.0,9.456666666666667,0.0,9.0,10.0
108,Northwest University,5.476,7.803333333333333,0.0,6.406666666666666,5.0
109,Northwestern Polytechnical University,8.692,8.896666666666667,0.0,8.879999999999999,10.0
110,Northwest A&F University,0.0,8.606666666666667,0.0,7.72,10.0
111,Tibet University,0.0,0.0,0.0,0.0,5.0
112,Southwestern University of Finance and Economics,0.0,6.196666666666666,0.0,6.326666666666666,5.0
113,Southwest University,0.0,8.36,0.0,6.333333333333334,5.0
114,Southwest Jiaotong University,0.0,8.013333333333334,0.0,7.02,5.0
115,Southwest Petroleum University,4.268,6.24,0.0,4.28,5.0
116,Xiangtan University,4.04,6.966666666666667,0.0,3.366666666666667,5.0
117,Xinjiang University,0.0,5.6866666666666665,0.0,3.3599999999999994,5.0
118,Yanbian University,0.0,0.0,0.0,0.0,5.0
119,Yunnan University,0.0,6.996666666666666,0.0,6.673333333333334,5.0
120,Chang'an University,0.0,6.596666666666667,0.0,6.586666666666667,5.0
121,Zhejiang University,9.776,9.716666666666667,9.45,9.78,10.0
122,Zhengzhou University,6.788,9.0,0.0,8.666666666666666,5.0
123,Communication University of China,3.676,0.0,0.0,0.0,5.0
124,China University of Geosciences (Beijing),0.0,7.793333333333333,0.0,7.9399999999999995,5.0
125,China University of Geosciences (Wuhan),0.0,8.076666666666666,0.0,8.626666666666667,5.0
126,Ocean University of China,0.0,8.176666666666666,0.0,7.713333333333333,10.0
127,University of Science and Technology of China,9.772,9.603333333333333,8.275,9.573333333333334,10.0
128,University of the Chinese Academy of Sciences,0.0,0.0,0.0,0.0,5.0
129,China University of Mining and Technology,0.0,0.0,0.0,7.306666666666667,5.0
130,China University of Mining and Technology (Beijing),0.0,5.890000000000001,0.0,5.886666666666667,5.0
131,China Academy of Art,0.0,0.0,0.0,0.0,5.0
132,China Agricultural University,0.0,8.913333333333334,0.0,8.64,10.0
133,Renmin University of China,0.0,8.09,0.0,7.08,10.0
134,People's Public Security University of China,0.0,0.0,0.0,0.0,5.0
135,China University of Petroleum (Beijing),7.904,7.333333333333334,0.0,6.58,5.0
136,China University of Petroleum (East China),6.632,7.493333333333334,0.0,0.0,5.0
137,China Pharmaceutical University,5.868,7.243333333333333,0.0,4.6,5.0
138,China Conservatory of Music,0.0,0.0,0.0,0.0,5.0
139,China University of Political Science and Law,0.0,0.0,0.0,0.0,5.0
140,Zhongnan University of Economics and Law,0.0,4.753333333333334,0.0,3.333333333333334,5.0
141,Central South University,0.0,9.323333333333334,4.325,9.366666666666667,10.0
142,Sun Yat-sen University,9.044,9.59,5.949999999999999,9.513333333333334,10.0
143,Central University of Finance and Economics,0.0,4.0633333333333335,0.0,0.0,5.0
144,Central Academy of Fine Arts,0.0,0.0,0.0,0.0,5.0
145,Minzu University of China,0.0,0.0,0.0,0.0,10.0
146,The Central Academy of Drama,0.0,0.0,0.0,0.0,5.0
147,Central Conservatory of Music,0.0,0.0,0.0,0.0,5.0
